case,session,source_file,page,parser_speaker,blind_read_label,agree,opening_words,which_occurrence,reader_notes
h205,1999-03-03_r02,1999-03-03_r02_ORDINARIA.html,,Sr. VILLAVERDE,Sr. VILLAVERDE.-,yes,Señor presidente: rindo homenaje a un destacado e ilustre argentino. En el marco del respeto y la consternación que merece este grande de la patria debo decir que en mi,,
h206,2000-06-21_r27,2000-06-21_r27_ORDINARIA.html,,Sr. Menem,Sr. Menem. --,yes,Primero que se vote el asunto en tratamiento.,,
h207,2002-03-14_r03,2002-03-14_r03_ORDINARIA.html,,Sra. Martín,Sra. Martín. --,yes,Voy a presentar una cuestión de privilegio contra el senador Pablo Walter. Lo haré en dos órdenes: como integrante de la Comisión de Reforma del Senado y como integrante de,,
h208,2001-10-23_r66,2001-10-23_r66_ORDINARIA.html,,Sr. Presidente (Losada),Sr. Presidente (Losada). --,yes,Corresponde considerar el dictamen de la Comisión de Defensa Nacional en el proyecto de comunicación del señor senador Villaverde por el que se solicitan informes sobre la eventual incorporación de,,
h209,1998-07-15_r29,1998-07-15_r29_ORDINARIA.html,,Sr. AVELÍN,Sr. AVELÍN.-,yes,Pido la palabra.,1 of 13,
h210,1999-12-28_r71,1999-12-28_r71_ESPECIAL.html,,Sr. GALVÁN,Sr. GALVÁN.-,yes,Pido la palabra.,6 of 14,
h211,2001-05-09_r28,2001-05-09_r28_ORDINARIA.html,,Sr. Presidente (Menem),Sr. Presidente (Losada). --,no,Por Secretaría se dará lectura.,1 of 2,"the sheet's old occurrence count sent the reader to a different printing of the same stock phrase; the page prints the parser's label immediately before every block the parser gives it (checked, this file) | reader: Passage falls in a later paragraph with no intervening speaker label; still part of the same Losada turn that opened with ""Pasamos a sesión de acuerdos...""."
h212,1998-05-20_r18,1998-05-20_r18_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,Corresponde considerar el dictamen de las comisiones de Obras Públicas y de Transportes en el proyecto de comunicación del señor senador Sáez por el que se solicita la construcción de,,Label prints with no parenthetical name in this file.
h213,2001-03-01_r00,2001-03-01_r00_ASAMBLEA.html,,Sr. Presidente (Losada),Sr. Presidente (Losada). --,yes,Corresponde que la Honorable Asamblea proceda a designar a las comisiones de Exterior e Interior para recibir al señor presidente de la Nación Argentina. Tiene la palabra el señor senador,,
h214,2002-04-11_r06,2002-04-11_r06_ORDINARIA.html,,Sr. Secretario (Oyarzún),Sr. Secretario (Oyarzún). --,yes,"Fojas números 1, 2, 3, 4,...",,
h215,2000-10-18_r58,2000-10-18_r58_ORDINARIA.html,,Sr. Rodríguez Saá,Sr. Rodríguez Saá. --,yes,"Señor presidente: no sé cuál es la interpretación que hace el señor senador de la ley, de las convenciones internacionales, de los pactos y de los tratados, pero la primera",,
h216,1999-12-01_r64,1999-12-01_r64_ORDINARIA.html,,Sr. SECRETARIO (Pontaquarto),Sr. SECRETARIO (Pontaquarto).-,yes,(Lee:) .,55 of 76,"Batch gave occurrence ""55 of 76""; my exact-string scan of ""(Lee:)"" in this file found 78 hits, not 76. Checked all 78 and every single one is preceded by the identical label ""Sr. SECRETARIO (Pontaquarto).-"", so the count mismatch does not change the answer."
h217,2000-09-27_r53,2000-09-27_r53_ORDINARIA.html,,Sr. Presidente (Genoud),Sr. Presidente (Genoud). --,yes,"¿Tiene el texto que propone para el artículo 2, señor senador, para incorporarlo como moción?",,
h218,2003-07-02_r14,2003-07-02_r14_ORDINARIA.html,,Sr. Presidente (Gioja),Sr. Presidente (Gioja). --,yes,"En consideración en general. Si no se hace uso de la palabra, se va a votar.",20 of 150,
h219,2001-10-23_r66,2001-10-23_r66_ORDINARIA.html,,Sr. Presidente (Losada),Sr. Presidente (Losada). --,yes,Queda aprobada la resolución. Se comunicará a la Honorable Cámara de Diputados.,1 of 11,
h220,2002-08-01_r17,2002-08-01_r17_ORDINARIA.html,,Sr. Presidente (Maqueda),Sr. Presidente (Maqueda). --,yes,"Voy a tratar de poner orden en el tema, porque yo había puesto en consideración el plan de labor, la señora senadora Fernández de Kirchner pidió agregar un tema y",,
h221,1998-03-11_r03,1998-03-11_r03_ORDINARIA.html,,Sr. MAYA,Sr. MAYA.-,yes,"¿Me permite una interrupción, señor senador?",,
h222,1999-11-24_r62,1999-11-24_r62_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,Queda aprobada la comunicación. Se procederá en consecuencia.,14 of 23,
h223,2001-05-16_r33,2001-05-16_r33_ORDINARIA.html,,Sr. Presidente (Menem),Sr. Presidente (Menem). --,yes,Señor senador: ya vamos a llegar al momento de pedir las preferencias. Vamos a ordenar la sesión: hay una etapa para pedir todas las preferencias; y le comunico esto a,,
h224,2000-10-25_r59,2000-10-25_r59_ORDINARIA.html,,Sr. Secretario (Pontaquarto),Sr. Secretario (Pontaquarto). --,yes,(Lee:),25 of 291,"Batch gave occurrence ""25 of 291""; my scan found 295 hits of ""(Lee:)"" in this file (mix of Sr. Secretario (Pontaquarto) early on and Sr. Prosecretario (Colombo) later). The Colombo label doesn't start until occurrence 279 in my count, well past occurrence 25, so the small count mismatch doesn't affect this answer."
h225,2003-05-07_r08,2003-05-07_r08_ORDINARIA.html,,Sr. Presidente (Gioja),Sr. Presidente (Gioja). --,yes,"Entonces, se eliminaría el artículo 2 del dictamen. En consideración la propuesta de supresión del artículo 2° del dictamen, formulada por el señor senador Capitanich. Si no se hace uso",,
h226,2002-05-23_r11,2002-05-23_r11_ORDINARIA.html,,Sr. Presidente (Maqueda),Sr. Presidente (Maqueda). --,yes,"En consideración. Si no se hace uso de la palabra, se va a votar la moción formulada por el señor senador Walter.",,
h227,2002-01-17_r81,2002-01-17_r81_ORDINARIA.html,,Sr. Presidente (Maqueda),Sr. Presidente (Maqueda). --,yes,Obra sobre las bancas de los señores senadores el plan de labor aprobado por el plenario de labor parlamentaria celebrado ayer.,,
h228,2000-10-04_r55,2000-10-04_r55_ORDINARIA.html,,Sr. Presidente (Genoud),Sr. Presidente (Genoud). --,yes,La fe de erratas está en Secretaría.,,
h229,2000-10-25_r59,2000-10-25_r59_ORDINARIA.html,,Sr. Secretario (Pontaquarto),Sr. Secretario (Pontaquarto). --,yes,(Lee:),141 of 291,"Raw text has 295 occurrences of ""(Lee:)"" not 291 as the batch's ""of 291"" implies; occurrence 141 falls well inside a long uniform run (~1-260) where every instance is this same secretary reading an Orden del Día, so the small count mismatch does not affect the answer."
h230,2002-08-15_r19,2002-08-15_r19_ORDINARIA.html,,Sr. Presidente (Maqueda),Sr. Presidente (Maqueda). --,yes,Corresponde considerar el dictamen de la Comisión de Asuntos Constitucionales en el proyecto de ley del señor senador Maqueda y otros señores senadores por el que se reforma del Código,,
h231,2003-03-06_r02,2003-03-06_r02_ORDINARIA.html,,Sr. Presidente (Gioja),Sr. Presidente (Gioja). --,yes,Tiene la palabra el señor senador Pichetto.,6 of 7,"Naive substring count gives 13 occurrences of this phrase, not 7. Filtering to only the occurrences where the speaker label sits inline in the same paragraph as the phrase (i.e. the phrase actually opens a new speech turn, rather than continuing one whose label appeared in an earlier paragraph) yields exactly 7, matching the batch's ""of 7''; the 6th of those is at raw offset 793589, label ""Sr. Presidente (Gioja). -- "". All plausible readings of this passage give the same speaker."
h232,1999-08-25_r43,1999-08-25_r43_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,"En consideración en general. Si no se hace uso de la palabra, se va a votar.",29 of 41,
h233,2000-04-05_r11,2000-04-05_r11_ORDINARIA.html,,Sr. Galván,Sr. Galván . --,yes,Señor presidente: creo que tenemos que reencauzar este acto institucional. Todos los que estamos aquí sentados en las bancas u ocupando un lugar en los estrados estamos cumpliendo un mandato,,"Label in the source has a stray space before the dash: ""Sr. Galván . -- ""."
h234,2002-08-01_r17,2002-08-01_r17_ORDINARIA.html,,Sr. Presidente (López Arias),Sr. Presidente (López Arias).--,yes,Corresponde considerar la preferencia a solicitar para el proyecto de ley de la señora senadora Curletti y otros señores senadores por el que se crean los certificados de existencia de,,
h235,2003-06-11_r11,2003-06-11_r11_ORDINARIA.html,,Sr. Secretario (Estrada),Sr. Secretario (Estrada).-,yes,(Lee),1 of 2,
h236,1999-04-14_r08,1999-04-14_r08_ORDINARIA.html,,Sr. SENADOR ELECTO SERGNESE,Sr. SENADOR ELECTO SERGNESE.-,yes,"¡Sí, juro!",,
h237,2003-03-06_r02,2003-03-06_r02_ORDINARIA.html,,Sr. Presidente (Gioja),Sr. Presidente (Gioja).,yes,Queda aprobado. En consideración el artículo 2. Tiene la palabra el señor senador Maestro para su lectura.,,"Passage spans three consecutive <P> paragraphs (""Queda aprobado."" / ""En consideración el artículo 2."" / ""Tiene la palabra...Maestro...""); only the first carries the speaker label, the other two are continuations of the same turn."
h238,2003-07-02_r14,2003-07-02_r14_ORDINARIA.html,,Sr. Presidente (López Arias),Sr. Presidente (López Arias).,yes,Tiene la palabra la señora senadora Escudero.,,
h239,1998-08-12_r34,1998-08-12_r34_ORDINARIA.html,,Sr. PRESIDENTE (Cafiero),Sr. PRESIDENTE (Cafiero).-,yes,Tiene la palabra el señor senador por Entre Ríos.,4 of 7,"Naive count gives 10 occurrences of this phrase (not 12 as an earlier crude tag-strip suggested), not 7. As with h231, filtering to occurrences where the label is inline in the same paragraph gives exactly 7, matching ""of 7''; the 4th of those is at raw offset 254446, label ""Sr. PRESIDENTE (Cafiero).-""."
h240,2000-04-26_r15,2000-04-26_r15_ESPECIAL.html,,Sr. Massat,Sr. Massat. --,yes,Señor presidente: solicito que se deje constancia de que la votación fue por unanimidad.,,
h241,2000-12-06_r68,2000-12-06_r68_EXTRAORDINARIA.html,,Sr. Presidente (Losada),Sr. Presidente (Losada). --,yes,Tiene la palabra el señor senador Yoma.,,
h242,2002-10-23_r30,2002-10-23_r30_ORDINARIA.html,,Sr. Presidente (Maqueda),Sr. Presidente (Maqueda). --,yes,"Por favor, silencio. La Presidencia va a dar lectura de la lista de oradores. Los señores senadores anotados para el uso de la palabra son los siguientes: Colombo, Avelín y",,
h243,2000-11-30_r67,2000-11-30_r67_ORDINARIA.html,,Sr. Yoma,Sr. Yoma. --,yes,¿Es el originario?,,
h244,2001-04-04_r14,2001-04-04_r14_ORDINARIA.html,,Sr. Presidente (Sapag),Sr. Presidente (Sapag). --,yes,Señor senador: el senador Usandizaga le solicita una interrupción.,,
h245,1998-04-22_r11,1998-04-22_r11_ORDINARIA.html,,Sr. AVELÍN,Sr. AVELÍN.-,yes,"En segundo término, solicito que la Presidencia fije un tiempo prudencial para formar quórum y, de no lograrse, que se proceda a pasar lista y a levantar la sesión.",,
h246,2001-05-03_r24,2001-05-03_r24_ORDINARIA.html,,Sr. Secretario (Oyarzún),Sr. Secretario (Oyarzún). --,yes,(Lee:),32 of 61,"Raw count of ""(Lee:)"" is 63, not 61, but every single occurrence throughout the document is this same secretary reading an Orden del Día, so the count mismatch does not affect the answer."
h247,2003-07-02_r14,2003-07-02_r14_ORDINARIA.html,,Sr. Presidente (Gioja),Sr. Presidente (Gioja).--,yes,"En consideración en general. Si no se hace uso de la palabra, se va a votar.",41 of 150,Raw count of the phrase matches the batch's stated total (150) exactly.
h248,1999-11-10_r57,1999-11-10_r57_ORDINARIA.html,,Sr. ALASINO,Sr. ALASINO.-,yes,"De manera que voy a proponer que votemos la preferencia para la próxima sesión para el proyecto del señor senador Pardo, con despacho de comisión o sin él. Repito: no",,
h249,1999-08-04_r37,1999-08-04_r37_ORDINARIA.html,,Sr. GENOUD,Sr. GENOUD.-,yes,Pido la palabra.,11 of 11,"Raw count of ""Pido la palabra."" is 12, not 11, but the batch asks for the last occurrence (""11 of 11''); the last occurrence in the document is unambiguous regardless of which single instance accounts for the off-by-one, and it is this one."
h250,2002-04-11_r06,2002-04-11_r06_ORDINARIA.html,,Sr. Presidente (Maqueda),Sr. Presidente (Maqueda). --,yes,Se va a votar el pedido de inserción solicitado por la senadora Müller.,,
h251,2003-05-07_r08,2003-05-07_r08_ORDINARIA.html,,Sr. Maestro,Sr. Maestro.,yes,"Señor presidente: antes de continuar con el análisis de esta cuestión y para saber bien de qué estamos hablando, solicito que se lea por Secretaría cuál sería en definitiva el",,
h252,2003-03-06_r02,2003-03-06_r02_ORDINARIA.html,,Sra. Curletti,Sra. Curletti.,yes,"Sí, señor senador.",,
h253,2001-08-15_r54,2001-08-15_r54_ORDINARIA.html,,Sr. Martínez Almudevar,Sr. Martínez Almudevar.,yes,"Señor presidente: propongo la incorporación de un artículo en el Capítulo X. Sugiero que esa incorporación se haga luego del artículo 32, que está referido a las penalidades. El objetivo",,
h254,1998-12-09_r71,1998-12-09_r71_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,Corresponde considerar el dictamen de la Comisión Parlamentaria Mixta Revisora de Cuentas de la Administración en el expediente Oficiales Varios 40/98 por el que la Auditoría General de la Nación,,
h255,2000-06-21_r27,2000-06-21_r27_ORDINARIA.html,,Sr. Presidente (Preto),Sr. Presidente (Preto). --,yes,Se va a votar el pedido de inserción formulado por el señor senador por Misiones.,,
h256,2002-11-28_r38,2002-11-28_r38_ORDINARIA.html,,Sr. Pichetto,Sr. Pichetto. --,yes,"Bueno. Pero, ¿me escucha?",,
h257,2000-12-21_r71,2000-12-21_r71_EXTRAORDINARIA.html,,Sr. Presidente (Losada),Sr. Presidente (Losada). --,yes,"En consideración en general. Si no se hace uso de la palabra, se va a votar.",42 of 63,"which_occurrence said 42 of 63; my own count of the exact phrase in the file also gives 63, and #42 lands here cleanly."
h258,2002-01-17_r81,2002-01-17_r81_ORDINARIA.html,,Sr. Presidente (Maqueda),Sr. Presidente (Maqueda). --,yes,Tiene la palabra el señor senador Maestro.,1 of 2,which_occurrence said 1 of 2; confirmed 2 total occurrences in the file.
h259,2002-04-04_r04,2002-04-04_r04_ORDINARIA.html,,Sr. Presidente (Maqueda),Sr. Presidente (Maqueda). --,yes,Tiene la palabra la señora senadora Paz.,,"Markup for this label is malformed: ""Sr. Presidente (</B>Maqueda)<B>. --"" — the bold close/open tags fall inside the parenthetical instead of around it. Text still reads unambiguously, but a tag-driven parser could mis-split this label."
h260,2001-03-28_r13,2001-03-28_r13_ORDINARIA.html,,Sr. Presidente (Losada),Sr. Presidente (Losada).--,yes,"En consideración en general. Si no se hace uso de la palabra, se va a votar.",,"The two sentences quoted straddle a paragraph break (""En consideración en general."" then a new <P> with ""Si no se hace uso..."") but no new speaker label appears between them, so both belong to Presidente (Losada)."
h261,2002-03-14_r03,2002-03-14_r03_ORDINARIA.html,,Sr. Presidente (López Arias),Sr. Presidente (López Arias). --,yes,Tiene la palabra el señor senador Yoma. No sé si está presente.,,
h262,2000-06-14_r25,2000-06-14_r25_ORDINARIA.html,,Sr. Presidente (Genoud),Sr. Presidente (Genoud). --,yes,Para una interrupción tiene la palabra el señor senador por La Rioja.,,
h263,2003-07-02_r14,2003-07-02_r14_ORDINARIA.html,,Sr. Presidente (Gioja),Sr. Presidente (Gioja). --,yes,"Corresponde considerar el dictamen de la Comisión de Educación, Cultura, Ciencia y Tecnología en el proyecto de declaración de la señora senadora Negre de Alonso por el que se rinde",,"This exact opening (committee dictamen re: proyecto by senadora Negre de Alonso) recurs with different followings 12 times in the file for 12 different homages/items; occurrence 1 (no which_occurrence given) is the ""Homenaje a Leopoldo Marechal"" item, confirmed against occurrence 2's differing text."
h264,1998-04-15_r09,1998-04-15_r09_ORDINARIA.html,,Sr. PROSECRETARIO (Pontaquarto),Sr. PROSECRETARIO (Pontaquarto).-,yes,(Lee:),12 of 113,"""(Lee:)"" is the secretary's own spoken cue announcing he will read, immediately followed by the text of an Orden del Día being entered into the record — so the speaker is Pontaquarto, but what follows immediately after is inserted-document text, not floor debate. Also: which_occurrence said 12 of 113; my exact-phrase count in the current file is 114, not 113. Occurrence #12 sits solidly inside a long unbroken run (occurrences 6-101) all spoken by this same Prosecretario, so the off-by-one in the total does not affect the answer, but a maintainer may want to know the count does not reproduce."
h265,1998-05-13_r15,1998-05-13_r15_ORDINARIA.html,,Sr. LÓPEZ,Sr. FIGUEROA.-,no,Pido la palabra.,6 of 13,"the sheet's old occurrence count sent the reader to a different printing of the same stock phrase; the page prints the parser's label immediately before every block the parser gives it (checked, this file) | reader: which_occurrence said 6 of 13; the current file yields 14 raw occurrences of ""Pido la palabra."" (verified two ways, including running the repo's own audit_parse.occurrence() against this file). Unlike other mismatched cases, here every occurrence has a DIFFERENT speaker, so this discrepancy matters. However, I confirmed that occurrence()'s position logic keys off the nth value (6) directly, independent of the total, and reproduces the same position (Sr. FIGUEROA) when fed nth=6 — so this is very likely still the intended passage, but flagging the total mismatch since the reasoning to get there took real work."
h266,1998-11-26_r65,1998-11-26_r65_ORDINARIA.html,,Sr. PRESIDENTE (Cafiero),Sr. PRESIDENTE (Cafiero).-,yes,Corresponde considerar el dictamen de la Comisión de la Integración en el proyecto de comunicación del señor senador García Arecha por el que se insta a los gobiernos de la,,
h267,2000-03-15_r06,2000-03-15_r06_ORDINARIA.html,,Sr. Alasino,Sr. Alasino. --,yes,"Que se vote, señor presidente.",,
h268,2000-11-15_r60,2000-11-15_r60_ORDINARIA.html,,Sr. Secretario (Oyarzún),Sr. Secretario (Oyarzún). --,yes,(Lee:),8 of 117,"Same ""(Lee:)"" pattern as h264: the phrase is the secretary's own cue right before an inserted Orden del Día document. which_occurrence said 8 of 117; I count 128 raw occurrences in the current file. Nearly every occurrence in the first ~20 (well past position 8) is this same Secretario Oyarzún — one (#10) even continues his same turn without a fresh label, illustrating why you must read back past unlabeled text. So the mismatched total is very unlikely to change the answer, but is worth a maintainer's look given the size of the gap (117 vs 128)."
h269,1998-11-26_r65,1998-11-26_r65_ORDINARIA.html,,Sr. PRESIDENTE (Cafiero),Sr. PRESIDENTE (Cafiero).-,yes,Tiene la palabra el señor senador por Misiones.,,
h270,2000-06-21_r27,2000-06-21_r27_ORDINARIA.html,,Sr. Presidente (Genoud),Sr. Presidente (Genoud). --,yes,Queda aprobada la comunicación. Se procederá en consecuencia.,25 of 33,"which_occurrence said 25 of 33; I count 34. All of occurrences 1-32 in my count are Presidente (Genoud), and only the last two (33-34) switch to Presidente (Preto) — so #25 is safely inside the Genoud block regardless of the exact total."
h271,1998-09-23_r48,1998-09-23_r48_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,Queda aprobada la comunicación. Se procederá en consecuencia.,48 of 57,"which_occurrence said 48 of 57; I count 55 (confirmed by running the repo's own audit_parse.occurrence() against this file, which reproduces position 48 exactly when given nth=48). All 55 occurrences bar one (#16, printed as bare ""Sr. PRESIDENTE.-"" without ""(Menem)"") are this same presiding officer, so the mismatched total does not change the answer."
h272,2002-06-12_r14,2002-06-12_r14_ORDINARIA.html,,Sr. Presidente (Maqueda),Sr. Presidente (Maqueda). --,yes,Corresponde considerar el dictamen de la Comisión de Presupuesto y Hacienda en el proyecto de comunicación del señor senador Gioja por el que se solicita un subsidio para la Escuela,,
h273,2001-04-18_r18,2001-04-18_r18_ORDINARIA.html,,Sr. Vaquir,Sr. Vaquir. --,yes,"Señor presidente: simplemente es para aclarar que en la página 2, segundo renglón, en donde dice: ""...obras sociales y/u hospitales públicos, de gestión descentralizada..."" hay que eliminar la coma, que",,
h274,2001-12-12_r76,2001-12-12_r76_EXTRAORDINARIA.html,,Sr. Gioja,Sr. Gioja. --,yes,"Señor presidente: debido a que se ha desdoblado el proyecto original, queda pendiente de aprobación el artículo 1° que formaría parte de un nuevo proyecto de resolución.",,
h275,1999-11-24_r00,1999-11-24_r00_ASAMBLEA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,Queda aprobada la moción por unanimidad. Por Secretaría se dará lectura a lo propuesto por la Presidencia.,,"This ASAMBLEA transcript never parenthesizes the presiding officer's name — every instance in the file reads bare ""Sr. PRESIDENTE.-"", unlike the ORDINARIA sittings that name him."
h276,2002-08-15_r19,2002-08-15_r19_ORDINARIA.html,,Sr. Presidente (Maqueda),Sr. Presidente (Maqueda). --,yes,Queda aprobada la comunicación. Se procederá en consecuencia.,4 of 26,
h277,1998-06-03_r22,1998-06-03_r22_ORDINARIA.html,,Sr. PROSECRETARIO (Pontaquarto),Sr. PROSECRETARIO (Pontaquarto).-,yes,(Lee:),77 of 92,
h278,2002-08-15_r19,2002-08-15_r19_ORDINARIA.html,,Sr. Presidente (Maqueda),Sr. Presidente (Maqueda). --,yes,Tiene la palabra el señor senador Morales.,4 of 5,"File has 6 occurrences of ""Tiene la palabra el señor senador Morales"" (with a line-break between ""Tiene"" and ""la"" in two of them) but only 5 end with a literal period -- one ends ""Morales..."" (ellipsis) instead. Took ""4 of 5"" to mean the 4th of the 5 that end in a plain period, in document order: Maqueda, Baglini, Baglini, Maqueda, Maqueda. That 4th is this Maqueda instance. If the count instead includes the ellipsis one, the target shifts by one position (still Baglini or Maqueda -- worth a maintainer re-check)."
h279,2003-05-07_r08,2003-05-07_r08_ORDINARIA.html,,Sr. Baglini,Sr. Baglini. --,yes,"Señor presidente: en este actual artículo 3° --anteriormente 4° en el dictamen de comisión--, recogiendo una inquietud de los señores senadores Curletti y Moro, por la provincia del Chaco, propusimos",,
h280,2003-06-11_r11,2003-06-11_r11_ORDINARIA.html,,Sr. Presidente (López Arias),Sr. Presidente (López Arias). --,yes,"En consideración en general. Si no se hace uso de la palabra, se va a votar.",5 of 16,"Search for the exact phrase found 17 hits (all preceded by ""Sr. Presidente (López Arias)""), one more than the stated ""of 16"". Regardless of which is excluded, every one of the 17 shares this same speaker, so the answer is unaffected."
h281,2000-09-06_r49,2000-09-06_r49_ORDINARIA.html,,Sr. Presidente (Preto),Sr. Presidente (Preto). --,yes,Senador Yoma: ¿le permite una interrupción al senador Sergnese?,,
h282,1999-10-27_r52,1999-10-27_r52_ORDINARIA.html,,Sr. GENOUD,Sr. GENOUD.-,yes,Señor presidente: la Alianza no va a formular preguntas. Agradecemos al señor jefe de Gabinete de Ministros haber brindado el último informe correspondiente a su gestión. También agradecemos sus primeros,,
h283,2001-06-20_r41,2001-06-20_r41_ORDINARIA.html,,Sr. Secretario (Oyarzún),Sr. Secretario (Oyarzún).--,yes,(Lee:),11 of 51,"Exact string ""(Lee:)"" occurs 54 times in this file, not 51 -- but every single occurrence in the whole document is spoken by Sr. Secretario (Oyarzún), so the identity of occurrence 11 is unaffected by the discrepancy."
h284,2002-11-28_r38,2002-11-28_r38_ORDINARIA.html,,Sr. Gómez Diez,Sr. Gómez Diez. --,yes,"Señor presidente: voy a tratar de ser breve, porque la Cámara de Diputados está esperando la sanción de esta ley por parte del Senado y porque además, nosotros como cámara",,
h285,1999-06-23_r29,1999-06-23_r29_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,Queda sancionado el proyecto de ley. Se comunicará a la Honorable Cámara de Diputados.,23 of 28,"Exact phrase occurs 29 times, not 28. Most are labeled ""Sr. PRESIDENTE (Menem).-"" but several are printed as the shorter ""Sr. PRESIDENTE.-"" (no name) -- both are Menem presiding. Occurrences 19-27 in document order are a consecutive run of the full ""(Menem)"" label, so the 23rd falls safely inside that run under either counting convention."
h286,2002-11-06_r33,2002-11-06_r33_ORDINARIA.html,,Sr. Presidente (Maqueda),Sr. Presidente (Maqueda). --,yes,Queda aprobada la comunicación. Se procederá en consecuencia,,
h287,1999-11-17_r59,1999-11-17_r59_ORDINARIA.html,,Sr. PRESIDENTE (Ulloa),Sr. PRESIDENTE (Ulloa).-,yes,Corresponde considerar el dictamen de las comisiones de Drogadicción y Narcotráfico y de Educación en el proyecto de comunicación del señor senador Bravo por el que se solicitan informes acerca,,
h288,2003-03-06_r02,2003-03-06_r02_ORDINARIA.html,,Sr. Baglini,Sr. Baglini. -,yes,"Señor presidente: en una cable de una agencia de noticias se acaba de difundir un comunicado oficial de Endesa, que dice que el problema de electricidad es interno del Senado.",,"Label uses a single dash here (""Sr.\nBaglini. -""), not the double dash seen elsewhere in the corpus."
h289,2002-08-01_r17,2002-08-01_r17_ORDINARIA.html,,Sr. Presidente (López Arias),Sr. Presidente (López Arias). --,yes,"Señor senador Baglini, la senadora Fernández de Kirchner le solicita una interrupción. ¿Se la concede?",,
h290,2000-12-21_r71,2000-12-21_r71_EXTRAORDINARIA.html,,Sr. Presidente (Losada),Sr. Presidente (Losada). --,yes,Corresponde considerar el dictamen de las comisiones de Interior y Justicia y de Comunicaciones en el proyecto de resolución del señor senador Sala y otros señores senadores por el que,,"Two occurrences of the opening phrase in this file, both spoken by Sr. Presidente (Losada) introducing similar but not identical items (different postal-stamp resolutions); took the first since which_occurrence was blank."
h291,2001-09-04_r60,2001-09-04_r60_ORDINARIA.html,,Sr. Maglietti,Sr. Maglietti. --,yes,"Señor presidente: solicito preferencia para el tratamiento de este proyecto dentro de quince días, con o sin dictamen de comisión, dado que se trata de un simple pedido de informes",,
h292,1998-11-04_r56,1998-11-04_r56_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,Señor senador por Mendoza...,,
h293,2003-02-26_r41,2003-02-26_r41_EXTRAORDINARIA.html,,Sr. Verna,Sr. Verna. --,yes,Esto que digo no es para los grupos exportadores sino para los productores de mi provincia que tienen ahora la posibilidad de exportar y la van a perder. Los Estados,,"An italic stenographer's note (""-- Ocupa la Presidencia el señor presidente provisional del H. Senado, senador José Luis Gioja."") sits between the previous speaker's turn and this passage; per instructions this note does not change attribution -- the governing label immediately before the passage is still Sr. Verna."
h294,1999-04-14_r08,1999-04-14_r08_ORDINARIA.html,,Sr. MAYA,Sr. MAYA.-,yes,"Señor presidente: quiero efectuar una ponderación para algunos tribunales, que no siempre son reconocidos. Incluso, a veces con poca generosidad, son objeto del castigo, del reclamo generalizado y de la",,
h295,2001-04-04_r14,2001-04-04_r14_ORDINARIA.html,,Sr. Presidente (Sapag),Sr. Presidente (Sapag). --,yes,"Por favor, no dialoguen entre sí. Tiene la palabra el señor senador Yoma.",,
h296,2003-03-06_r02,2003-03-06_r02_ORDINARIA.html,,Sr. Pichetto,Sr. Pichetto. --,yes,Yo ya la escuché siete veces en el día de hoy.,,
h297,2001-03-07_r02,2001-03-07_r02_ORDINARIA.html,,Sr. Gioja,Sr. Gioja. --,yes,Señor presidente: solicito el tratamiento sobre tablas del dictamen que acaba de ser leído por Secretaría y que a continuación se tome juramento de rigor al señor senador electo titular,,
h298,2001-12-22_r00,2001-12-22_r00_ASAMBLEA.html,,Sr. Presidente (Maqueda),Sr. Presidente (Maqueda). --,yes,Corresponde que esta Asamblea adopte el Reglamento que va a regir sus deliberaciones. Tiene la palabra el señor senador Gioja.,,
h299,1999-09-22_r46,1999-09-22_r46_ORDINARIA.html,,Sr. SECRETARIO (Oyarzún),Sr. SECRETARIO (Oyarzún).-,yes,(Lee:),11 of 23,"Exact count of ""(Lee:)"" in this file is 23, matching the stated ""of 23"" exactly."
h300,2000-08-23_r46,2000-08-23_r46_ORDINARIA.html,,Sr. Secretario (Pontaquarto),Sr. Secretario (Pontaquarto). --,yes,"Fojas número 29, 30, 31...",,
h301,1999-08-25_r43,1999-08-25_r43_ORDINARIA.html,,Sr. GENOUD,Sr. GENOUD.-,yes,En parte tiene razón el señor senador por La Rioja. Lo que ocurre es que siempre existe un criterio distinto para analizar las facultades reglamentarias. Habitualmente la reglamentación es sólo,,
h302,2003-03-06_r02,2003-03-06_r02_ORDINARIA.html,,Sr. Presidente (Gioja),Sr. Presidente (Gioja). --,yes,"En consideración en general. Si no se hace uso de la palabra, se va a votar.",22 of 108,
h303,2003-02-26_r41,2003-02-26_r41_EXTRAORDINARIA.html,,Sr. Presidente (Gioja),Sr. Presidente (Gioja). --,yes,"Para una interrupción, tiene la palabra el señor senador Baglini.",,
